# Serie Quotidienne de Référence associée à la Série Mensuelle Homogénéisée  MTX015050001
# NUM_POSTE= 15050001
# NOM_USUEL= LE CLAUX
# LATITUDE (°) = 45.173
# LONGITUDE(°)= 2.711
# ALTITUDE (m) = 1033
# Periode SQR  19690101 20181231  : Q_SQR=1
# Données prolongées si nécessaire jusqu'en 20221201 par des donnees quotidiennes brutes : Q_SQR=0
AAAAMMJJ;VALEUR;Q_SQR
19690101;-3;1
19690102;0;1
19690103;0;1
19690104;-1;1
19690105;3;1
19690106;2;1
19690107;5;1
19690108;0.5;1
19690109;7;1
19690110;5;1
19690111;8;1
19690112;8.8;1
19690113;6;1
19690114;2;1
19690115;1;1
19690116;0;1
19690117;6;1
19690118;6.5;1
19690119;4;1
19690120;11;1
19690121;13;1
19690122;10;1
19690123;12;1
19690124;10;1
19690125;11;1
19690126;12;1
19690127;8;1
19690128;8;1
19690129;3;1
19690130;3;1
19690131;2.8;1
19690201;3.8;1
19690202;2;1
19690203;-1;1
19690204;-3;1
19690205;-2.8;1
19690206;-2.5;1
19690207;3.1;1
19690208;-7.5;1
19690209;-3.3;1
19690210;-5.5;1
19690211;1.5;1
19690212;0.5;1
19690213;2;1
19690214;0;1
19690215;-3.5;1
19690216;-9.5;1
19690217;0.4;1
19690218;7.2;1
19690219;7.5;1
19690220;6.7;1
19690221;10;1
19690222;9;1
19690223;7;1
19690224;3;1
19690225;4;1
19690226;5;1
19690227;6.2;1
19690228;5.8;1
19690301;5;1
19690302;5.4;1
19690303;6;1
19690304;6.5;1
19690305;11;1
19690306;4;1
19690307;5;1
19690308;9.5;1
19690309;13;1
19690310;9.5;1
19690311;8.2;1
19690312;11;1
19690313;10;1
19690314;7;1
19690315;10.5;1
19690316;7.5;1
19690317;9.5;1
19690318;11.5;1
19690319;9.5;1
19690320;6.5;1
19690321;10;1
19690322;6.5;1
19690323;6.2;1
19690324;0.5;1
19690325;-1;1
19690326;0;1
19690327;-1;1
19690328;-1;1
19690329;-1;1
19690330;2;1
19690331;6;1
19690401;7.5;1
19690402;4;1
19690403;6.5;1
19690404;10;1
19690405;6;1
19690406;8.8;1
19690407;11;1
19690408;14;1
19690409;16.5;1
19690410;17;1
19690411;15;1
19690412;7;1
19690413;5.6;1
19690414;5;1
19690415;7.8;1
19690416;8.5;1
19690417;8;1
19690418;8;1
19690419;11;1
19690420;8;1
19690421;8.5;1
19690422;7;1
19690423;8;1
19690424;12;1
19690425;20;1
19690426;15;1
19690427;10.5;1
19690428;8.5;1
19690429;8.8;1
19690430;13.8;1
19690501;16;1
19690502;17.2;1
19690503;14.8;1
19690504;12;1
19690505;11.5;1
19690506;11.8;1
